surface,w_ace,l_ace,tot_ace
Hard,5,0,5
Hard,6,3,9
Hard,1,2,3
Hard,9,2,11
Hard,3,4,7
Hard,2,5,7
Hard,4,2,6
Hard,3,1,4
Hard,9,1,10
Hard,9,7,16
Hard,7,1,8
Hard,2,3,5
Hard,2,2,4
Hard,0,2,2
Hard,1,0,1
Hard,2,3,5
Hard,10,1,11
Hard,6,0,6
Hard,7,3,10
Hard,2,6,8
Clay,10,3,13
Clay,4,1,5
Clay,0,2,2
Clay,9,0,9
Clay,1,2,3
Clay,1,5,6
Clay,3,5,8
Clay,2,0,2
Clay,9,0,9
Clay,1,1,2
Clay,4,0,4
Clay,2,1,3
Clay,0,0,0
Clay,4,1,5
Clay,4,2,6
Clay,3,1,4
Clay,3,1,4
Clay,2,1,3
Clay,1,2,3
Clay,1,0,1
Clay,1,1,2
Clay,1,1,2
Clay,1,0,1
Clay,0,0,0
Clay,5,2,7
Clay,0,2,2
Clay,0,1,1
Clay,4,1,5
Clay,2,1,3
Clay,1,1,2
Clay,1,0,1
Clay,0,0,0
Clay,0,1,1
Clay,0,2,2
Clay,3,1,4
Clay,3,1,4
Clay,6,5,11
Clay,1,2,3
Clay,5,1,6
Clay,0,1,1
Clay,2,4,6
Clay,0,0,0
Clay,3,0,3
Clay,4,1,5
Clay,2,1,3
Clay,2,5,7
Clay,3,3,6
Clay,1,1,2
Clay,0,0,0
Clay,0,0,0
Clay,5,2,7
Clay,0,2,2
Clay,1,1,2
Clay,5,4,9
Clay,3,6,9
Clay,0,0,0
Clay,2,3,5
Clay,0,1,1
Clay,2,0,2
Clay,2,4,6
Clay,1,0,1
Clay,1,2,3
Clay,0,2,2
Clay,1,0,1
Clay,6,3,9
Clay,0,2,2
Clay,2,4,6
Clay,15,3,18
Clay,10,2,12
Clay,NA,NA,#VALUE!
Clay,2,1,3
Clay,4,2,6
Clay,4,2,6
Clay,0,1,1
Clay,4,1,5
Clay,4,1,5
Clay,1,0,1
Clay,2,2,4
Clay,10,9,19
Clay,2,0,2
Clay,0,0,0
Clay,1,2,3
Clay,1,1,2
Clay,NA,NA,#VALUE!
Clay,0,1,1
Clay,0,4,4
Clay,5,3,8
Clay,1,0,1
Clay,3,1,4
Clay,5,3,8
Clay,2,1,3
Clay,4,2,6
Clay,2,0,2
Clay,3,2,5
Clay,3,1,4
Clay,8,0,8
Clay,3,1,4
Clay,4,4,8
Clay,0,10,10
Clay,8,1,9
Clay,0,0,0
Clay,6,11,17
Clay,0,2,2
Clay,1,1,2
Clay,2,6,8
Clay,1,0,1
Clay,8,0,8
Clay,5,1,6
