w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
0,0,2,7,19,#DIV/0!
4,7,4,9,33,-0.428571429
2,4,10,16,13,-0.5
4,7,9,15,103,-0.428571429
4,9,13,19,54,-0.555555556
8,10,3,8,36,-0.2
3,6,11,16,44,-0.5
1,1,6,10,26,0
2,4,6,10,17,-0.5
11,13,6,9,8,-0.153846154
5,7,5,10,3,-0.285714286
5,7,8,11,15,-0.285714286
8,11,3,10,18,-0.272727273
4,7,0,5,7,-0.428571429
4,6,2,4,24,-0.333333333
2,5,11,18,22,-0.6
5,8,3,9,14,-0.375
10,15,1,7,35,-0.333333333
3,5,7,13,20,-0.4
4,4,2,8,19,0
6,12,3,7,103,-0.5
1,2,3,8,36,-0.5
1,3,2,7,26,-0.666666667
8,8,0,2,8,0
4,6,4,9,3,-0.333333333
4,7,0,5,18,-0.428571429
5,8,2,8,24,-0.375
0,1,7,12,14,-1
4,7,8,12,19,-0.428571429
9,14,7,15,36,-0.357142857
10,12,3,7,26,-0.166666667
7,9,3,8,18,-0.222222222
2,2,4,6,14,0
3,3,3,8,19,0
1,2,5,10,26,-0.5
13,13,1,4,19,0
5,6,1,5,19,-0.166666667
5,8,8,13,1,-0.375
5,6,6,8,112,-0.166666667
11,15,6,14,76,-0.266666667
3,9,15,23,98,-0.666666667
2,4,2,6,17,-0.5
6,9,4,9,71,-0.333333333
2,4,0,5,72,-0.5
2,3,4,7,19,-0.333333333
1,2,3,8,10,-0.5
4,4,2,6,123,0
2,2,4,8,87,0
2,4,8,13,24,-0.5
1,2,5,9,29,-0.5
5,10,8,14,36,-0.5
1,7,7,14,70,-0.857142857
3,6,7,13,6,-0.5
2,3,6,10,3,-0.333333333
2,7,6,12,88,-0.714285714
3,6,9,13,43,-0.5
7,9,6,9,35,-0.222222222
0,2,10,16,16,-1
5,5,8,11,52,0
0,2,2,7,48,-1
2,4,5,9,15,-0.5
6,8,5,11,104,-0.25
5,8,0,4,54,-0.375
3,6,8,12,92,-0.5
6,8,4,9,20,-0.25
5,12,1,9,30,-0.583333333
0,2,1,7,56,-1
7,10,8,13,62,-0.3
5,8,2,7,8,-0.375
6,8,6,11,78,-0.25
1,2,1,4,124,-0.5
6,9,2,7,81,-0.333333333
8,14,10,16,40,-0.428571429
1,3,6,13,23,-0.666666667
3,4,5,10,37,-0.25
6,7,5,9,42,-0.142857143
3,3,5,7,12,0
5,11,3,9,34,-0.545454545
2,3,6,11,130,-0.333333333
0,3,5,8,74,-1
5,7,3,10,25,-0.285714286
0,1,5,10,521,-1
3,7,6,14,168,-0.571428571
4,7,4,10,59,-0.428571429
0,1,8,13,4,-1
3,4,3,7,7,-0.25
1,1,6,12,100,0
5,6,4,7,53,-0.166666667
1,3,5,9,33,-0.666666667
2,3,3,8,79,-0.333333333
5,7,3,5,58,-0.285714286
5,7,3,8,39,-0.285714286
9,10,1,4,51,-0.1
4,9,3,9,18,-0.555555556
9,14,5,11,94,-0.357142857
3,8,5,10,75,-0.625
2,3,5,10,21,-0.333333333
6,10,8,15,32,-0.4
3,5,4,11,113,-0.4
2,5,6,12,119,-0.6
1,4,0,6,2,-0.75
2,5,7,14,1,-0.6
6,9,4,12,76,-0.333333333
2,6,3,9,17,-0.666666667
4,5,2,5,72,-0.2
0,2,13,17,123,-1
6,7,7,10,24,-0.142857143
4,5,1,5,29,-0.2
2,2,2,7,6,0
6,9,7,11,88,-0.333333333
4,8,8,12,35,-0.5
2,3,1,5,16,-0.333333333
1,4,1,6,48,-0.75
4,8,3,8,104,-0.5
